id;intitule;repA;repB;repC;repD;bonne;difficulte
Q001;Quel indicateur est liée à la rentabilée quotidienne de votre biscuiterie ?;Le total des likes;Votre argent disponible;La couleur des boites;La météo locale;B;FACILE
Q002;Quelle action augmente directement la capacitée de production ?;Investir en matière première;Payer plus de taxes;Dormir toute la journée;Couper la publicié;A;FACILE
Q003;Que se passe-t-il si la taxe augmente sur chaque cookie vendu ?;Le gain unitaire baisse;Le gain unitaire augmente;Rien ne change;Les matières premières augmentent;A;FACILE
Q004;Quel réfléxe adopter avant d'engager un bonus couteux ?;Vérifier l'argent disponible;Fermer l'usine;Offrir tout le stock;Ignorer les comptes;A;FACILE
Q005;Qu'est-ce qu'un cookie ?;Un biscuit;Un fruit;Un animal;Un jeu;A;FACILE
Q006;Pourquoi produire des cookies ?;Pour gagner de l'argent;Pour dormir;Pour jouer;Pour manger des fruits;A;FACILE
Q007;Que faut-il pour faire des cookies ?;De la farine;Des voitures;Des livres;Des chaussures;A;FACILE
Q008;Où vend-on les cookies ?;Dans une biscuiterie;Dans une piscine;Dans une bibliothèque;Dans un zoo;A;FACILE
Q009;Qu'est-ce que la production ?;Faire des cookies;Regarder la télé;Dormir;Jouer au foot;A;FACILE
Q010;Que signifie gagner de l'argent ?;Recevoir des pièces;Perdre des pièces;Acheter des jouets;Vendre des livres;A;FACILE
Q011;Quel est le but du jeu ?;Gagner beaucoup d'argent;Perdre tout;Ne rien faire;Dormir toute la journée;A;FACILE
Q012;Que se passe-t-il si on ne produit pas ?;On perd de l'argent;On gagne plus;On dort mieux;Rien;A;FACILE
Q013;Qu'est-ce qu'une taxe ?;Un impôt sur les ventes;Un cadeau;Un jeu;Un animal;A;FACILE
Q014;Pourquoi payer des taxes ?;Pour aider le pays;Pour acheter plus;Pour dormir;Pour jouer;A;FACILE
Q015;Que fait un bonus ?;Augmente la production;Diminue l'argent;Ferme l'usine;Ouvre une piscine;A;FACILE
Q016;A quoi serve les bonus ?; A ameliorer ses bénéfices ; A rien ; A perdre de l'argent ; A acheter des cookies ;A;FACILE
Q017;Qu'est-ce que la matière première ?;Les ingrédients pour les cookies;Les voitures;Les livres;Les animaux;A;FACILE
Q018;Pourquoi investir en matière première ?;Pour produire plus;Pour dormir;Pour jouer;Pour manger;A;FACILE
Q019;Que montre l'argent disponible ?;Combien on a d'argent;Combien de cookies;Combien d'amis;Combien de jeux;A;FACILE
Q020;Que faire si on n'a plus d'argent ?;Produire et vendre;Dormir;Jouer;Manger;A;FACILE
